,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
62,р-н Центральный,16000.0,2,68.0,12.0,3,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,9,0,1,открытая во дворе,1,ул. 50 лет Октября
63,р-н Центральный,25000.0,2,70.0,10.0,3,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор",,1,1,0,монолитный,16,1,1,за шлагбаумом во дворе,1,ул. Павлуновского
64,р-н Центральный,30000.0,2,80.0,20.0,3,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор",,1,1,1,монолитный,10,1,1,за шлагбаумом во дворе,1,ул. Горького
65,р-н Центральный,12000.0,1,31.5,7.0,2,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","плита, стиральная машина, телевизор",,1,1,1,кирпичный,5,0,0,открытая во дворе,0,Почтовая ул.
66,р-н Центральный,12000.0,1,36.0,7.0,5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,1,0,0,кирпичный,5,0,0,за шлагбаумом во дворе,0,Мирная ул.
67,р-н Центральный,20000.0,4,61.4,11.5,1,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина",Wi-Fi,1,1,1,панельный,5,0,0,открытая во дворе,0,ул. Гоголя
68,р-н Центральный,12000.0,1,37.0,10.0,3,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
69,р-н Центральный,25000.0,3,84.0,12.0,1,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,кирпичный,5,0,0,,0,ул. Володарского
70,р-н Центральный,13000.0,2,46.5,8.0,2,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,9,0,0,открытая во дворе,0,пр-т Хрущёва
71,р-н Центральный,14000.0,1,37.0,10.0,3,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,1,кирпичный,4,0,0,открытая во дворе,0,Московский пр.
72,р-н Железнодорожный,6000.0,2,100.0,12.0,1,"балкон, лоджия",изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",0,0,0,монолитный,2,0,0,открытая во дворе,0,ул. Чапаева
73,р-н Центральный,17000.0,1,45.0,15.0,10,балкон,,совмещенный,евро,"кухня, хранение одежды","холодильник, плита",Wi-Fi,1,0,0,кирпичный,10,1,1,за шлагбаумом во дворе,1,Советская ул.
74,р-н Центральный,16000.0,1,50.0,10.0,4,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель, телевизор",телевидение,1,1,0,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Пионеров
75,р-н Центральный,13000.0,1,32.0,6.0,2,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,1,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Ленина
76,р-н Центральный,20000.0,1,50.0,20.0,6,балкон,,,евро,,,"Wi-Fi, телевидение",0,0,0,кирпичный,17,0,0,,0,ул. Радищева
77,р-н Центральный,11000.0,2,52.0,9.0,7,лоджия,изолированные,раздельный,косметический,,,,1,0,0,панельный,9,1,0,открытая во дворе,1,пр-т Победы
78,р-н Центральный,60000.0,3,90.0,17.0,7,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",1,0,0,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе,1,ул. Горького
79,р-н Сеймский,12000.0,2,45.0,6.0,4,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,1,0,0,панельный,5,0,0,,0,ул. Дейнеки
80,р-н Центральный,20000.0,1,40.0,10.0,1,,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",,0,0,0,панельный,17,1,1,за шлагбаумом во дворе,1,пр-т Вячеслава Клыкова
81,р-н Центральный,12000.0,1,38.0,10.0,1,,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
82,р-н Центральный,15000.0,3,80.0,9.0,7,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места",плита,,1,0,0,панельный,10,1,0,открытая во дворе,1,ул. Бойцов 9-й Дивизии
83,р-н Сеймский,12000.0,2,49.0,9.0,3,"балкон, лоджия",изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,1,0,0,панельный,9,1,0,,1,пр-т Ленинского Комсомола
84,р-н Центральный,13000.0,2,46.0,6.0,2,балкон,изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,5,0,0,за шлагбаумом во дворе,0,ул. Радищева
85,р-н Центральный,18000.0,3,76.0,12.0,4,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,0,0,0,панельный,9,1,0,"открытая во дворе, за шлагбаумом во дворе",1,пр-т Хрущёва
86,р-н Железнодорожный,17000.0,3,60.0,8.0,2,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,кирпичный,9,1,0,открытая во дворе,1,2-я ул. Новосёловка
87,р-н Центральный,15000.0,1,42.0,10.0,10,балкон,,совмещенный,евро,кухня,"кондиционер, холодильник, плита, микроволновка, стиральная машина",,1,0,1,панельный,17,1,1,"подземная, за шлагбаумом во дворе",1,ул. Карла Маркса
88,р-н Центральный,9000.0,1,38.0,10.0,17,,,,косметический,,"холодильник, плита",,1,0,0,панельный,17,0,0,,0,пр-т Анатолия Дериглазова
