,Адрес,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Максимум гостей,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка
32,"Курская область, Курск, пр-т Анатолия Дериглазова, 39",р-н Центральный,15 000 ₽ в месяц,1,50 м²,20 м²,3 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,да,да,,монолитный,17,1,1,за шлагбаумом во дворе
33,"Курская область, Курск, ул. Щепкина",р-н Центральный,6 500 ₽ в месяц,1,16 м²,2 м²,5 из 9,,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,да,да,да,,кирпичный,9,1,,за шлагбаумом во дворе
34,"Курская область, Курск, пр-т Победы, 44",р-н Центральный,15 000 ₽ в месяц,2,59 м²,10 м²,14 из 17,балкон,изолированные,раздельный,косметический,"кухня, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",Wi-Fi,нет,нет,нет,,панельный,17,1,1,открытая во дворе
35,"Курская область, Курск, ул. Крюкова, 8",р-н Сеймский,9 000 ₽ в месяц,1,30 м²,7 м²,4 из 5,"балкон, лоджия",,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,,,панельный,5,нет,,
36,"Курская область, Курск, ул. Радищева, 64",р-н Центральный,15 000 ₽ в месяц,2,50 м²,9 м²,5 из 5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,да,нет,нет,,кирпичный,5,нет,нет,
37,"Курская область, Курск, ул. Блинова, 2к1",р-н Центральный,20 000 ₽ в месяц,1,32 м²,8 м²,8 из 9,балкон,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,да,,кирпичный,9,1,нет,открытая во дворе
38,"Курская область, Курск, ул. Ленина, 27",р-н Центральный,15 000 ₽ в месяц,1,42 м²,7 м²,2 из 3,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,да,нет,,кирпичный,3,,,открытая во дворе
39,"Курская область, Курск, ул. Володарского, 70",р-н Центральный,20 000 ₽ в месяц,2,80 м²,14 м²,3 из 10,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,нет,,монолитный,10,1,1,за шлагбаумом во дворе
40,"Курская область, Курск, пр-т Победы, 10",р-н Центральный,20 000 ₽ в месяц,2,80 м²,13 м²,8 из 9,лоджия,изолированные,раздельный,евро,"кухня, спальные места","холодильник, плита, стиральная машина, водонагреватель","Wi-Fi, телевидение",да,нет,нет,,монолитно-кирпичный,9,1,,открытая во дворе
41,"Курская область, Курск, ул. Ватутина, 14",р-н Центральный,20 000 ₽ в месяц,3,75 м²,8.5 м²,4 из 5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель",Wi-Fi,да,нет,нет,,кирпичный,5,нет,,за шлагбаумом во дворе
